brand,model,year,mileage,condition,color,owners_count,accident,month,price,days_to_sell,brand_encoded,model_encoded,color_encoded,age,mileage_per_year,is_premium_color,price_normalized
Nissan,Juke,2023,59156,5,Черный,1,0,11,1527000,50,11,27,5,3,14789.0,1,1.712447065496973
Skoda,Karoq,2013,190484,5,Белый,4,0,12,330000,59,12,29,0,13,13606.0,1,0.3829151005128361
Lada,Granta,2022,72441,7,Красный,2,0,5,471000,36,8,23,1,4,14488.2,0,1.6627151884942253
Nissan,X-Trail,2014,209707,10,Белый,2,0,4,482000,26,11,61,0,12,16131.307692307691,1,0.5772850152277316
Haval,Jolion,2018,168901,2,Серый,2,0,4,382000,51,5,26,3,8,18766.777777777777,1,0.6317475388797011
Chery,Arrizo 8,2012,286887,8,Серый,3,0,8,309000,41,2,6,3,14,19125.8,1,0.3695769050958392
Lada,Vesta,2018,82132,9,Синий,3,0,9,339000,30,8,60,4,8,9125.777777777777,0,1.1942666359659222
Haval,Dargo,2018,173223,5,Черный,3,0,12,664000,70,5,17,5,8,19247.0,1,0.8217526518130537
BMW,X5,2017,103214,3,Красный,2,1,1,502000,76,0,63,1,9,10321.4,0,0.5890631133147401
Mercedes-Benz,E-Class,2015,269248,7,Серебристый,1,1,10,349000,68,10,18,2,11,22437.333333333332,1,0.3825444454964567
Lada,Niva Travel,2017,271508,4,Серый,1,0,11,142000,69,8,35,3,9,27150.8,1,0.5014917191140348
Nissan,Almera,2013,253594,6,Красный,4,0,4,323000,42,11,4,1,13,18113.85714285714,0,0.3485968063941079
Chery,Tiggo 8,2022,82481,1,Белый,1,0,4,947000,58,2,54,0,4,16496.2,1,1.1543273963332101
Volkswagen,Jetta,2021,49615,3,Черный,2,0,11,1029000,69,15,25,5,5,8269.166666666666,1,1.2012126936154137
Mazda,3,2011,253838,7,Черный,3,0,1,287000,57,9,0,5,15,15864.875,1,0.31748942890621024
BMW,X3,2022,64152,2,Синий,2,0,6,1034000,65,0,62,4,4,12830.4,0,1.1763456681506874
Geely,Monjaro,2021,103195,5,Красный,2,0,11,1121000,60,4,34,1,5,17199.166666666668,0,1.3664269166005758
Mazda,3,2021,127665,3,Черный,1,1,4,814000,77,9,0,5,5,21277.5,1,0.900475244354199
Toyota,Land Cruiser Prado,2017,117753,7,Серый,2,0,12,768000,52,13,32,3,9,11775.3,1,0.8197404015412127
Hyundai,Tucson,2011,230663,5,Синий,4,0,9,230000,43,6,56,4,15,14416.4375,0,0.2778914038117747
UAZ,Pickup,2014,219029,8,Красный,3,1,4,120000,43,14,39,1,12,16848.384615384617,0,0.45819394039695954
Mercedes-Benz,GLC,2024,24146,2,Серый,1,0,9,1352000,60,10,21,3,2,8048.666666666667,1,1.6314590068366104
Exeed,LX,2014,284590,3,Белый,4,0,12,274000,77,3,31,0,12,21891.53846153846,1,0.3477808527018873
Volkswagen,Tiguan,2024,33228,6,Серебристый,1,0,5,1830000,35,15,55,2,2,11076.0,1,2.0394758060181255
UAZ,Patriot,2015,186741,4,Серебристый,1,0,12,150000,65,14,38,2,11,15561.75,1,0.5255554717062495
Kia,Sportage,2013,260398,3,Красный,1,0,5,255000,40,7,50,1,13,18599.85714285714,0,0.2931950615078922
Mercedes-Benz,GLC,2012,287707,10,Серебристый,4,0,2,349000,33,10,21,2,14,19180.466666666667,1,0.4211384566464327
BMW,5 Series,2021,59362,8,Белый,1,1,7,1185000,38,0,2,0,5,9893.666666666666,1,1.3708066042696394
Mercedes-Benz,GLE,2019,93346,7,Белый,2,1,1,849000,69,10,22,0,7,11668.25,1,0.9349819076359788
Exeed,RX,2013,146083,2,Серый,3,0,6,318000,66,3,44,3,13,10434.5,1,0.40030963591475993
Hyundai,Creta,2016,187720,5,Белый,1,0,12,540000,45,6,16,0,10,17065.454545454544,1,0.6344131195324437
Changan,UNI-K,2014,303826,8,Красный,4,1,12,311000,68,1,58,1,12,23371.23076923077,0,0.38222570129860306
Skoda,Kodiaq,2013,169486,5,Черный,1,0,9,406000,50,12,30,5,13,12106.142857142857,1,0.5011092710058432
Chery,Tiggo 4,2025,18588,9,Синий,1,0,7,1242000,30,2,52,4,1,9294.0,0,2.6886101243339255
Changan,CS55,2013,173501,5,Серый,1,0,12,340000,60,1,10,3,13,12392.92857142857,1,0.40220716867423456
Exeed,TX,2014,245945,4,Белый,2,0,7,282000,77,3,51,0,12,18918.846153846152,1,0.3494592506759367
Hyundai,Creta,2014,290476,10,Белый,4,0,4,441000,9,6,16,0,12,22344.30769230769,1,0.5181040476181624
BMW,X5,2022,80943,8,Красный,2,0,1,1533000,42,0,63,1,4,16188.6,0,1.798872017353579
Kia,K5,2013,253592,2,Синий,3,0,7,226000,71,7,28,4,13,18113.714285714286,0,0.25647701825634794
Chery,Tiggo 7 Pro,2020,64853,7,Красный,2,0,11,1135000,58,2,53,1,6,9264.714285714286,0,1.3914088167508458
Kia,Rio,2019,41413,8,Серебристый,1,1,4,949000,47,7,46,2,7,5176.625,1,1.127198579082655
Skoda,Kodiaq,2024,18659,7,Синий,1,1,3,1506000,50,12,30,4,2,6219.666666666667,0,1.8587944880167484
Exeed,RX,2019,142868,1,Красный,2,1,3,439000,73,3,44,1,7,17858.5,0,0.5526287112156592
Exeed,VX,2014,318739,5,Синий,3,0,4,314000,51,3,59,4,12,24518.384615384617,0,0.3992825339528501
Nissan,Juke,2019,182478,9,Черный,2,0,6,880000,36,11,27,5,7,22809.75,1,0.9868719172477644
Chery,Tiggo 4,2012,127284,8,Синий,1,1,1,214000,66,2,52,4,14,8485.6,0,0.46325488454706926
Hyundai,Tucson,2016,161806,6,Серебристый,2,1,7,475000,79,6,56,2,10,14709.636363636364,1,0.5739061600460564
BMW,3 Series,2024,37227,1,Серебристый,1,0,9,1289000,61,0,1,2,2,12409.0,1,1.5083319488887124
Skoda,Octavia,2016,237940,5,Серый,1,1,5,344000,45,12,36,3,10,21630.909090909092,1,0.39357050826216444
Mazda,CX-30,2025,24255,1,Синий,1,0,3,1512000,64,9,11,4,1,12127.5,0,1.7423248572111272
Haval,F7,2018,100977,5,Черный,2,0,12,793000,69,5,19,5,8,11219.666666666666,1,0.9431336502445727
Mazda,3,2021,93543,1,Синий,2,0,3,925000,66,9,0,4,5,15590.5,0,1.0232673231297715
UAZ,Patriot,2025,17710,5,Белый,1,1,2,525000,78,14,38,0,1,8855.0,1,1.8394441509718733
Kia,Sportage,2025,22767,1,Синий,1,0,9,1415000,64,7,50,4,1,11383.5,0,1.6269451452300685
UAZ,Pickup,2016,187122,5,Серый,3,0,5,169000,53,14,39,3,10,17011.090909090908,1,0.6452897993923846
Mercedes-Benz,E-Class,2015,128280,3,Синий,1,0,1,492000,69,10,18,4,11,10690.0,0,0.5392890177199333
Haval,F7x,2018,135934,6,Серый,3,0,12,779000,61,5,20,3,8,15103.777777777777,1,0.9711312595486208
Exeed,TX,2021,59490,7,Синий,1,0,11,1180000,67,3,51,4,5,9915.0,0,1.4622762971546286
Haval,F7,2016,250528,3,Черный,1,0,8,382000,83,5,19,5,10,22775.272727272728,1,0.4543216322741826
Chery,Tiggo 8,2011,253896,4,Синий,2,0,2,201000,79,2,54,4,15,15868.5,0,0.24500507567368032
UAZ,Pickup,2013,79632,6,Красный,4,0,9,158000,66,14,39,1,13,5688.0,0,0.60328868818933
Changan,UNI-K,2012,142403,5,Синий,2,0,6,319000,65,1,58,4,14,9493.533333333333,0,0.3920578736792745
Mazda,3,2020,65445,10,Белый,1,0,8,1481000,23,9,0,0,6,9349.285714285714,1,1.6383339519515585
Changan,Alsvin,2020,107343,8,Серый,2,0,7,531000,43,1,5,3,6,15334.714285714286,1,1.4225206611570247
Chery,Tiggo 7 Pro,2021,106285,7,Серый,1,0,2,1238000,47,2,53,3,5,17714.166666666668,1,1.5176776344824205
Lada,Niva Travel,2019,92011,7,Белый,1,0,10,344000,59,8,35,0,7,11501.375,1,1.214881347712873
Changan,UNI-K,2019,155936,2,Красный,1,1,8,497000,93,1,58,1,7,19492.0,0,0.6108237091492146
Chery,Tiggo 4,2015,263765,2,Серебристый,3,1,5,138000,71,2,52,2,11,21980.416666666668,1,0.29873445825932504
Kia,Sportage,2016,137467,8,Белый,3,0,8,724000,29,7,50,0,10,12497.0,1,0.8324440177714273
Volkswagen,Tiguan,2014,169393,8,Серый,3,1,2,436000,54,15,55,3,12,13030.23076923077,1,0.4859078969529523
Mercedes-Benz,E-Class,2022,49806,4,Белый,2,0,10,1313000,74,10,18,0,4,9961.2,1,1.43920016314283
Exeed,VX,2025,30918,1,Серый,1,0,10,1381000,60,3,59,3,1,15459.0,1,1.7560801891365796
BMW,X5,2018,111921,5,Белый,1,0,8,845000,51,0,63,0,8,12435.666666666666,1,0.9915504596632578
Lada,Vesta,2015,207413,9,Черный,3,0,8,174000,39,8,60,5,11,17284.416666666668,1,0.6129864149205618
Changan,UNI-K,2021,70137,3,Синий,1,1,11,788000,102,1,58,4,5,11689.5,0,0.968468979496139
Mazda,CX-5,2020,138036,7,Серый,2,0,6,1087000,41,9,12,3,6,19719.428571428572,1,1.3686391111451408
Toyota,Camry,2011,237061,5,Серебристый,3,0,6,236000,51,13,13,2,15,14816.3125,1,0.2670474218708169
Chery,Arrizo 8,2014,234562,4,Серый,3,0,6,313000,82,2,6,3,12,18043.23076923077,1,0.374361072152096
Geely,Tugella,2011,260367,10,Синий,3,1,6,249000,60,4,57,4,15,16272.9375,0,0.30855484865428495
Hyundai,Solaris,2018,138206,8,Синий,1,0,12,922000,69,6,48,4,8,15356.222222222223,0,1.131515747823235
Mercedes-Benz,C-Class,2014,106066,5,Красный,3,1,8,404000,62,10,8,1,12,8158.923076923077,0,0.48989882820003844
Lada,Granta,2024,41619,8,Серый,1,0,1,602000,47,8,23,3,2,13873.0,1,2.1251688821093917
Haval,Dargo,2014,167841,9,Серый,3,1,8,445000,68,5,17,3,12,12910.846153846154,1,0.5507227862301339
Toyota,Corolla,2015,190064,8,Синий,3,0,9,499000,41,13,15,4,11,15838.666666666666,0,0.5922044992425654
Chery,Tiggo 4,2013,276396,6,Черный,3,0,2,176000,36,2,52,5,13,19742.571428571428,1,0.38099467140319715
Geely,Monjaro,2021,78856,7,Красный,2,0,1,1188000,60,4,34,1,5,13142.666666666666,0,1.4480956083153294
Volkswagen,Tiguan,2022,69568,1,Красный,1,0,6,1060000,51,15,55,1,4,13913.6,0,1.1813357127755262
Skoda,Octavia,2017,122509,7,Серебристый,3,1,1,622000,69,12,36,2,9,12250.9,1,0.7116303957530996
Skoda,Kodiaq,2012,310799,2,Черный,2,0,2,224000,54,12,30,5,14,20719.933333333334,1,0.276474080554948
Hyundai,Solaris,2018,79699,2,Красный,1,0,12,716000,66,6,48,1,8,8855.444444444445,0,0.8787042032987378
Skoda,Octavia,2019,94343,8,Серый,1,1,3,1019000,30,12,36,3,7,11792.875,1,1.1658382206951905
Skoda,Rapid,2013,273901,8,Серый,3,1,4,310000,33,12,45,3,13,19564.35714285714,1,0.36493325509755026
Lada,Largus,2012,260829,2,Черный,1,1,4,56000,60,8,33,5,14,17388.6,1,0.19804438198957786
